款号,产品名称,小名,在库库存,采购在途
ME77BW018,9分微锥牛仔裤(水洗产品),9分微锥牛仔裤(水洗产品),1,0
ME19DF014,龙猫帽子,龙猫帽子,66,0
ME07DV112,松弛感抽绳伞裙,降落伞,138,0
ME14DW039,101经典短款大衣,101国产苏力,47,0
ME14DW038,101经典长款大衣,101国产苏力,72,0
ME14DF032,茧型翻领大衣,德芙大衣,247,0
ME07BW095,醋酸蕾丝半裙,夜色,0,0
ME07DV019,蕾丝拼接醋酸鱼尾裙,夜色,3,0
9SS2409056,花式带子流苏小香,花式带子流苏小香,77,0
ME05DC076,松紧腰短裤,西西里,45,0
ME11DC085,a摆v领吊带,西西里,92,0
ME11FV015,坑条背心,坑条背心,207,177
ME15BW059,miu风拼领夹克外套,小灰灰,1,0
ME07BW094,miu风半裙,小灰灰,23,0
ME11DW012,针织背心,坑条背心,207,0
ME05BW045,羊毛裤,糯米裤,1,0
ME10BW016,强缩T恤,糯米套,2,0
ME05DC065,条纹短裤,麻条西装,86,0
ME01DC042,一粒扣西装,麻条西装,71,0
ME12BW018,强缩卫衣,糯米套,8,0
ME14DW041,青果领浴袍大衣TEXCO版本,浴袍大衣,153,0
ME14DF064,青果领大衣,浴袍大衣,69,0
MD09DC054,宽松条纹针织短袖套衫,春夏平行线,167,0
ME14DW013,翻领长大衣,机场大衣,74,0
MD11DC099,镂空针织背心,鼓浪屿,5,0
ME14DW040,翻领中长大衣,机场大衣,70,0
MD09DC045,镂空针织开衫,鼓浪屿,24,0
ME05FV031,九分弯刀阔腿裤,月牙裤/学历裤,634,0
ME08DF024,蕾丝拼接吊带,浪漫芭蕾,279,24
MD11DC037,桂花针珠片小香风吊带,伯爵茶,53,0
9SS2407205,波点蓬裙,奶油球,3,0
ME05DC138,铜氨松紧腰 时髦长裤,冰山套,147,0
ME07DC108,珠片小香针织半裙,伯爵茶,19,0
ME07DC107,铜氨鱼尾半身裙,冰山套,75,0
9SS2407206,波点长蓬裙,奶油球,14,0
MD09DC021,桂花针珠片小香针织开衫,伯爵茶,1,0
MD17DC059,不对称立裁上衣,冰山套,119,0
9AW2405036,松紧腰卫裤,树懒套,30,0
9SS2377004,小脚牛仔裤,双眼皮牛仔裤,3,0
9SS2415142,廓形卫衣外套,树懒套,14,0
ME08DV032,网纱两件套连衣裙,夜朦胧,8,0
9AW2407015,卫衣短裙,树懒套,50,0
ME05DC024,泡泡纱休闲八分裤,预言家,11,0
ME01DC009,泡泡纱落肩西装,预言家,100,4
MD09DV008,大勺领针织背心,大勺领针织背心,34,0
ME05DC046,抽绳短裤,预言家,43,0
ME13DW052,排骨羽绒服,排骨羽绒服,177,0
ME18DV033,防风外套,防风外套,8,0
ME11DC121,荡领背心,云间套,314,0
ME05DC147,松紧9分裤,云间套,111,0
9SS2405212,西装长裤,西装长裤,176,0
ME15DC016,皱纹麻狩猎外套,狩猎者,52,0
ME05DC069,皱纹麻短裤,狩猎者,101,0
ME17DV005,牛仔衬衫(水洗产品),牛仔衬衫(水洗产品),0,0
ME14DF083,长毛翻领大衣,德芙大衣,48,0
ME19DC006,春夏花草腰果小方巾,春夏花草腰果小方巾,191,0
9AW2320027,正肩四袋箱型小香（正常织带）,正肩四袋箱型小香（正常织带）,0,0
MD09BW121,翻折立领毛绒针织开衫,擂台衫,5,0
ME16DV008,格纹马甲,COCO马甲,0,0
9SS2411076,汤勺背心窄,汤勺背心窄,130,0
9SS2408133,连衣裙,连衣裙,134,0
9SS2407191,鱼尾斜裁半裙,人鱼姬,251,0
ME10DC070,Oversize大廓形T,气球T,33,0
ME19DW005,流苏格纹披肩,流苏格纹披肩,50,0
ME05DC123,针织八分裤,针织八分裤,42,0
ME10DC058,V领亚麻T恤,V领亚麻T恤,222,0
ME14DW049,机场大衣苏力版（加长款）,机场大衣,36,0
ME34DC038,重磅微皱醋酸宽松上衣,锡纸套,137,0
ME05DC124,针织短裤,针织短裤,117,0
ME14DW055,机场大衣苏力版,机场大衣,24,0
ME07DC110,重磅微皱醋酸后开衩半裙,锡纸套,78,0
ME10DC059,杰克罗素梗印花T,快乐小狗,22,0
9SS2408169,渔网吊带裙（国产）,渔网连衣裙,4,0
9SS2411097,香风渔网背心（进口版）,香风渔网背心（进口版）,0,0
ME58DF010,泰迪中长大衣,帕丁顿熊,249,0
9SS2411098,香风黑金渔网背心（国产版）,渔网背心,1,0
ME07DC078,丝麻半裙,仙踪套,212,0
ME11DC129,挂脖背心,仙踪套,239,0
ME10DV019,休闲瑜伽服,瑜伽T,22,0
ME05DF057,窄腰长直筒裤,大都会,71,0
MD09DF030,镂空珠片羊绒针织开衫,星光衫,63,0
MD09DF029,镂空珠片羊绒针织套衫,星光衫,27,0
ME10DC073,圆领短T恤,黑巧系列,220,0
ME11DC118,勺领背心,黑巧系列,105,0
ME05DC135,晚风裤,黑巧系列,213,0
9SS2405117,抽绳双褶裤,抽绳双褶裤,8,0
MD09DF019,圆领丝羊绒珠片针织开衫,小松膏,20,0
9SS2317076,直身收胸省衬衫,素境生活,4,0
MD09DC098,丝羊绒珠片圆领针织套衫,小松膏,35,0
MD11DC045,镂空系带针织背心,戚风套,62,0
ME06FV004,春款休闲薄款套装（短裤）,春日白桃,17,529
9SS2409133,镂空羽毛纱针织背心,Daisy,222,0
ME17FV014,春款休闲薄款套装（衬衫）,春日白桃,13,1291
9SS2409175,镂空羽毛纱针织半裙,Daisy,56,0
ME06DC007,镂空针织短裤,戚风套,197,0
ME05DF057-1,窄腰长直筒裤(长),大都会,70,0
9SS2407056,长款腰带百褶裙,长款腰带百褶裙,1,0
9SS2407057,短裤腰带百褶裙,短裤腰带百褶裙,2,0
9AW2305073,直筒微喇裤,超模时代,14,0
ME07BW075,Row风半裙,Row风半裙,504,23
ME07BW078,Row风半裙（加长版）,Row风半裙（加长版）,83,0
ME05BW075,小脚开叉西裤,海岸,12,0
ME01BW045,双排扣西服,海岸,1,0
MD07DV115,运动老钱复古百褶裙,温网套,91,0
ME05DC009,波光粼粼 短裤,极光套,9,0
MD15DV054,运动老钱复古外套,温网套,13,0
ME17FV018,宽松条纹衬衫,海岸线,83,16
9AW2320026,黑闪小香,黑闪小香,2,0
ME10BW018,亮闪闪内搭,亮闪闪内搭,2,0
ME17DC011,波光粼粼衬衫,极光套,58,0
